what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261342579175
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1261342579192
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1261342579192
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261342592736
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261342600114
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261342600310
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1261342601273
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1261342601273
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.ide.ant",1261342601273
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1261342601273
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1261342601273
stopped,bundle,com.google.gwt.eclipse.sdkbundle.win32,1.7.1.v200909221731,"com.google.gwt.eclipse.sdkbundle.win32",1261342601273
stopped,bundle,com.google.gdt.eclipse.suite,1.2.0.v200912062003,"com.google.gdt.eclipse.suite",1261342601275
stopped,bundle,com.google.gwt.eclipse.sdkbundle.2.0.0,2.0.0.v200912062003,"com.google.gwt.eclipse.sdkbundle.2.0.0",1261342601275
stopped,bundle,com.google.gwt.eclipse.core,1.2.0.v200912062003,"com.google.gwt.eclipse.core",1261342601284
stopped,bundle,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.adt",1261342601284
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.java.tasks",1261342601284
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.java.ui",1261342601284
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1261342601284
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1261342601284
stopped,bundle,ch.epfl.lamp.sdt.core,2.7.7.final,"ch.epfl.lamp.sdt.core",1261342601284
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1261342601284
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.102.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.ui",1261342601284
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.301.v200908131325,"org.eclipse.jst.ejb.ui",1261342601284
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1261342601284
